cultura,umidade,ph,status,motivo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,5.00,DESLIGADA,Falta adubo
MILHO,54.00,7.00,DESLIGADA,Falta adubo
MILHO,54.00,7.00,DESLIGADA,Falta adubo
MILHO,54.00,7.00,DESLIGADA,Falta adubo
MILHO,54.00,7.00,DESLIGADA,Falta adubo
MILHO,54.00,7.00,DESLIGADA,Falta adubo
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,54.00,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,7.00,LIGADA,OK
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,32.50,5.00,DESLIGADA,pH fora ideal
MILHO,76.00,5.00,DESLIGADA,pH fora ideal
MILHO,76.00,5.00,DESLIGADA,pH fora ideal
MILHO,76.00,5.00,DESLIGADA,pH fora ideal
MILHO,76.00,5.00,DESLIGADA,pH fora ideal
MILHO,76.00,5.00,DESLIGADA,pH fora ideal
MILHO,76.00,5.00,DESLIGADA,pH fora ideal
MILHO,76.00,6.00,DESLIGADA,Solo molhado
